Owner Address,Validators Count,Operators Count
0x9ca53d2679f8a5f1f863b0a620d3d100b21e063a,1,0
0x6de242f08a213aa11eb87e5a2f894b6f16519922,1,0
0x95ed2e550a3a90232ae664312280b908f91c5b07,1,0
0x2db6ed41bf50d423b18049952c10dce0e202b7b0,1,0
0xfaf9121c9ccd31aa519d2c5d39665d5d406121b0,1,0
0x770b8f4cdadcf938fae78998e4fa8026a2bc5876,1,0
0x4a619df01b823b170b9cfd258111c9a99674390e,1,0
0x592e726d638e528d162434699b631e9c9d2632b5,1,0
0x180483ac333401e248d72a19205561c4723d58bd,1,0
0x6bf63166b6d9b35a715b28b270555ade140916a7,1,0
0x9f5b5a303d6d75e45d6d6daed3c3e4d25f8ec873,0,1
0xcd90b68e507f3e57fb4fdf6cd102be39de80f0d9,0,1
0xd80b64c73d1f4e7a67bc43b688494c320d0aa583,0,1
0x2d500166d5422c9b9db58320d3174c931f280a6d,0,1
0x2a0b5075e2d0845bd9114e8f3102e7441960a24c,0,1
0x59ecf48345a221e0731e785ed79ed40d0a94e2a5,0,1
0xf35960302a07022aba880dffaec2fdd64d5bf1c1,0,1
0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,0,1
0x1b1627b632f774b4b95cfe28ec03d8f9c5847f0b,0,1
0xcdc7855a74c7f0902527064dbef3ab52895681de,0,1
